decile,n,upb_mn,pred_smm,actual_smm,pred_cpr,actual_cpr
0,30888.0,84051.0533,0.0006,0.0009,0.7745,1.0272
1,30888.0,145650.3198,0.0011,0.0008,1.2953,1.0063
2,30887.0,216051.8965,0.0015,0.0009,1.7567,1.0891
3,30888.0,259475.0408,0.0019,0.0009,2.2616,1.1191
4,30887.0,291383.0569,0.0024,0.0012,2.8393,1.4498
5,30888.0,353108.5297,0.003,0.0013,3.4865,1.5433
6,30887.0,414148.3755,0.0036,0.0018,4.2442,2.0887
7,30888.0,454247.2324,0.0045,0.0015,5.3178,1.7681
8,30887.0,470362.1077,0.0061,0.0013,7.1027,1.6049
9,30888.0,443978.091,0.0115,0.0023,12.9664,2.7004
