vintage_year,median_rate,n_loans
1990.0,4.52,1
1991.0,3.785,2
1992.0,3.7800000000000002,4
1994.0,3.58,7
1995.0,4.22,9
1996.0,3.6975,4
1997.0,3.5300000000000002,10
1998.0,5.85,19
1999.0,6.0,28
2000.0,6.0,13
2001.0,7.5,66
2002.0,6.75,139
2003.0,5.75,291
2004.0,5.75,279
2005.0,5.52,268
2006.0,5.12,403
2007.0,4.68,373
2008.0,4.75,264
2009.0,4.6899999999999995,370
2010.0,4.05,720
2011.0,3.935,1196
2012.0,2.99,1951
2013.0,3.38,2217
2014.0,3.85,1615
2015.0,3.56,1514
2016.0,3.46,1496
2017.0,3.52,1937
2018.0,4.14,2141
2019.0,3.78,1561
2020.0,2.91,2202
2021.0,2.63,2405
2022.0,3.8449999999999998,1482
2023.0,5.65,693
2024.0,5.85,654
2025.0,5.86,865
2026.0,5.5,106
